time, dts, Center (x-axis), Center (y-axis)
0.000000000000000000e+00,8.336807002917882847e-03,0.000000000000000000e+00,-0.000000000000000000e+00
8.336807002917882847e-03,8.336807002917882847e-03,1.752956199645996094e+01,2.978019714355468750e-01
1.667361400583576569e-02,8.336807002917882847e-03,3.447560691833496094e+01,1.839065551757812500e+00
2.501042100875364854e-02,8.336807002917882847e-03,5.091687202453613281e+01,5.128509521484360789e+00
3.334722801167153139e-02,8.336807002917882847e-03,6.701296806335449219e+01,9.426662445068359375e+00
4.168403501458941424e-02,8.336807002917882847e-03,8.284135627746582031e+01,1.416043090820312500e+01
5.002084201750729708e-02,8.336807002917882847e-03,9.831120109558105469e+01,1.799224662780761719e+01
5.835764902042517993e-02,8.336807002917882847e-03,1.134976558685302734e+02,2.114676094055175781e+01
6.669445602334306278e-02,8.336807002917882847e-03,1.285067958831787109e+02,2.336681556701660156e+01
7.503126302626095256e-02,8.336807002917882847e-03,1.433430995941162109e+02,2.448996162414550781e+01
8.336807002917882847e-02,8.336807002917882847e-03,1.580496425628662109e+02,2.491671562194824219e+01
9.170487703209670438e-02,8.336807002917882847e-03,1.725198574066162109e+02,2.429240989685058594e+01
1.000416840350145942e-01,8.336807002917882847e-03,1.870816860198974609e+02,2.310413742065429688e+01
1.083784910379324840e-01,8.336807002917882847e-03,2.016744441986083984e+02,2.096004867553711648e+01
1.167152980408503599e-01,8.336807002917882847e-03,2.162118206024169922e+02,1.816566276550292969e+01
1.250521050437682358e-01,8.336807002917882847e-03,2.309256954193115234e+02,1.434318161010742188e+01
1.333889120466861256e-01,8.336807002917882847e-03,2.458918666839599609e+02,9.369716644287109375e+00
1.417257190496040153e-01,8.336807002917882847e-03,2.611328182220458984e+02,3.513149261474609375e+00
1.500625260525219051e-01,8.336807002917882847e-03,2.768356533050537109e+02,-1.793933868408203125e+00
1.583993330554397672e-01,8.336807002917882847e-03,2.924180507659912109e+02,-5.731273651123061086e+00
1.667361400583576569e-01,8.336807002917882847e-03,3.078596096038818359e+02,-7.833526611328125000e+00
1.750729470612755467e-01,8.336807002917882847e-03,3.238420925140380859e+02,-8.334377288818359375e+00
1.834097540641934088e-01,8.336807002917882847e-03,3.397694759368895916e+02,-7.261383056640625000e+00
1.917465610671112985e-01,8.336807002917882847e-03,3.557463283538818359e+02,-5.229171752929687500e+00
2.000833680700291883e-01,8.336807002917882847e-03,3.714468288421630859e+02,-2.754783630371093750e+00
2.084201750729470781e-01,8.336807002917882847e-03,3.871552333831787109e+02,-7.647209167480468750e-01
2.167569820758649679e-01,8.336807002917882847e-03,4.029122524261474609e+02,6.814804077148437500e-01
2.250937890787828299e-01,8.336807002917882847e-03,4.187156734466552734e+02,1.435550689697265625e+00
2.334305960817007197e-01,8.336807002917882847e-03,4.341370449066162109e+02,2.241489410400390625e+00
2.417674030846186095e-01,8.336807002917882847e-03,4.498614864349365234e+02,2.497016906738281250e+00
2.501042100875364715e-01,8.336807002917882847e-03,4.652627925872802734e+02,3.088653564453125000e+00
2.584410170904543613e-01,8.336807002917882847e-03,4.809088191986083416e+02,3.295063018798828125e+00
2.667778240933722511e-01,8.336807002917882847e-03,4.966981563568115234e+02,3.292629241943359375e+00
2.751146310962901409e-01,8.336807002917882847e-03,5.120963802337646484e+02,3.407428741455078125e+00
2.834514380992080307e-01,8.336807002917882847e-03,5.278731136322021484e+02,4.036724090576171875e+00
2.917882451021259205e-01,8.336807002917882847e-03,5.431704158782958984e+02,4.232322692871093750e+00
3.001250521050438103e-01,8.336807002917882847e-03,5.588877925872802734e+02,4.211765289306640625e+00
3.084618591079616445e-01,8.336807002917882847e-03,5.741627864837646484e+02,4.288055419921875000e+00
3.167986661108795343e-01,8.336807002917882847e-03,5.898581905364990234e+02,4.576122283935546875e+00
