time, dts, Center (x-axis), Center (y-axis)
0.000000000000000000e+00,8.336807002917882847e-03,0.000000000000000000e+00,-0.000000000000000000e+00
8.336807002917882847e-03,8.336807002917882847e-03,1.786460018157958984e+01,1.660575866699218750e-01
1.667361400583576569e-02,8.336807002917882847e-03,3.500522327423095703e+01,8.881607055664062500e-01
2.501042100875364854e-02,8.336807002917882847e-03,5.102514743804931641e+01,2.693035125732421875e+00
3.334722801167153139e-02,8.336807002917882847e-03,6.635327434539794922e+01,6.174625396728515625e+00
4.168403501458941424e-02,8.336807002917882847e-03,8.154689693450927734e+01,1.010970687866210938e+01
5.002084201750729708e-02,8.336807002917882847e-03,9.681702709197998047e+01,1.424385070800781250e+01
5.835764902042517993e-02,8.336807002917882847e-03,1.118691091537475870e+02,1.879663658142089844e+01
6.669445602334306278e-02,8.336807002917882847e-03,1.275162725448608398e+02,2.226607131958007812e+01
7.503126302626095256e-02,8.336807002917882847e-03,1.429052267074584961e+02,2.527164459228514914e+01
8.336807002917882847e-02,8.336807002917882847e-03,1.589423894882202433e+02,2.615797615051266689e+01
9.170487703209670438e-02,8.336807002917882847e-03,1.748323507308959961e+02,2.665080451965332031e+01
1.000416840350145942e-01,8.336807002917882847e-03,1.910565328598022461e+02,2.563250160217285156e+01
1.083784910379324840e-01,8.336807002917882847e-03,2.248199300765990927e+02,1.980696296691894531e+01
1.167152980408503599e-01,8.336807002917882847e-03,2.795798635482788086e+02,2.169040679931640625e+00
1.250521050437682358e-01,8.336807002917882847e-03,2.978833150863647461e+02,-2.769439697265625000e+00
1.333889120466861256e-01,8.336807002917882847e-03,3.158776693344116211e+02,-6.662597656250000000e+00
1.417257190496040153e-01,8.336807002917882847e-03,3.341891469955444336e+02,-9.113201141357421875e+00
1.500625260525219051e-01,8.336807002917882847e-03,3.523897848129272461e+02,-9.969184875488281250e+00
1.583993330554397672e-01,8.336807002917882847e-03,3.706972799301147461e+02,-7.806831359863281250e+00
1.667361400583576569e-01,8.336807002917882847e-03,4.068525686264038086e+02,-2.806308746337890625e+00
1.750729470612755467e-01,8.336807002917882847e-03,4.251857442855834961e+02,2.031822204589843750e-01
1.834097540641934088e-01,8.336807002917882847e-03,4.438816061019897461e+02,2.621276855468750000e+00
1.917465610671112985e-01,8.336807002917882847e-03,4.627289724349976154e+02,4.081531524658203125e+00
2.000833680700291883e-01,8.336807002917882847e-03,4.817254018783569336e+02,5.200351715087890625e+00
2.084201750729470781e-01,8.336807002917882847e-03,5.009542989730836098e+02,6.241119384765625000e+00
2.167569820758649679e-01,8.336807002917882847e-03,5.206536092758178711e+02,6.011478424072265625e+00
2.250937890787828299e-01,8.336807002917882847e-03,5.401462850570678711e+02,6.108978271484375000e+00
2.334305960817007197e-01,8.336807002917882847e-03,5.599497213363647461e+02,6.189075469970688914e+00
2.417674030846186095e-01,8.336807002917882847e-03,5.798734273910522461e+02,6.238998413085909078e+00
2.501042100875364715e-01,8.336807002917882847e-03,6.000382223129272461e+02,6.060665130615234375e+00
