time, dts, Center (x-axis), Center (y-axis)
0.000000000000000000e+00,8.336807002917882847e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.336807002917882847e-03,8.336807002917882847e-03,1.851343965530395508e+01,-1.306571960449218750e+00
1.667361400583576569e-02,8.336807002917882847e-03,3.587647962570190430e+01,-3.801879882812514211e+00
2.501042100875364854e-02,8.336807002917882847e-03,5.330893850326538086e+01,-6.682323455810546875e+00
3.334722801167153139e-02,8.336807002917882847e-03,7.081277990341186523e+01,-8.211452484130859375e+00
4.168403501458941424e-02,8.336807002917882847e-03,8.744630956649781695e+01,-7.316989898681640625e+00
5.002084201750729708e-02,8.336807002917882847e-03,1.039360098838806152e+02,-5.612339019775376414e+00
5.835764902042517993e-02,8.336807002917882847e-03,1.202223143577575684e+02,-3.682142257690429688e+00
6.669445602334306278e-02,8.336807002917882847e-03,1.368737120628356934e+02,-1.788160324096679688e+00
7.503126302626095256e-02,8.336807002917882847e-03,1.533283476829529093e+02,9.032058715820312500e-01
8.336807002917882847e-02,8.336807002917882847e-03,1.697324538230895996e+02,2.237152099609375000e+00
9.170487703209670438e-02,8.336807002917882847e-03,1.860089583396911621e+02,2.471099853515617895e+00
1.000416840350145942e-01,8.336807002917882847e-03,2.023916869163513184e+02,1.932394027709960938e+00
1.083784910379324840e-01,8.336807002917882847e-03,2.188152937889099121e+02,9.234848022460937500e-01
1.167152980408503599e-01,8.336807002917882847e-03,2.355852217674254803e+02,2.576560974121093750e-01
1.250521050437682358e-01,8.336807002917882847e-03,2.527523894309997559e+02,-6.854251861572265625e+00
1.333889120466861256e-01,8.336807002917882847e-03,2.688351988792419434e+02,-1.301004409790036220e+01
1.417257190496040153e-01,8.336807002917882847e-03,2.858642668724060059e+02,-1.507635498046875000e+01
1.500625260525219051e-01,8.336807002917882847e-03,3.028083128929138184e+02,-1.406607818603517046e+01
1.583993330554397672e-01,8.336807002917882847e-03,3.202405333518981934e+02,-9.094764709472656250e+00
1.667361400583576569e-01,8.336807002917882847e-03,3.374898161888122559e+02,-6.461585998535156250e+00
1.750729470612755467e-01,8.336807002917882847e-03,3.551914916038513184e+02,-3.920375823974609375e+00
1.834097540641934088e-01,8.336807002917882847e-03,3.730802092552185059e+02,-1.357578277587862203e+00
1.917465610671112985e-01,8.336807002917882847e-03,3.909765105247497559e+02,-1.945968627929715922e+00
2.000833680700291883e-01,8.336807002917882847e-03,4.088052458763122559e+02,-1.842258453369140625e+00
2.084201750729470781e-01,8.336807002917882847e-03,4.267813811302185059e+02,-1.958282470703153422e+00
2.167569820758649679e-01,8.336807002917882847e-03,4.447224822044372559e+02,-2.419063568115234375e+00
2.250937890787828299e-01,8.336807002917882847e-03,4.625995573997497559e+02,-2.349353790283203125e+00
2.334305960817007197e-01,8.336807002917882847e-03,4.804955077171325684e+02,-2.208869934082031250e+00
2.417674030846186095e-01,8.336807002917882847e-03,4.981400847434997559e+02,-1.862987518310546875e+00
