time, dts, Center (x-axis), Center (y-axis)
0.000000000000000000e+00,8.336807002917882847e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.336807002917882847e-03,8.336807002917882847e-03,2.081709003448486328e+01,2.393482208251953125e+00
1.667361400583576569e-02,8.336807002917882847e-03,4.097251987457275391e+01,5.303855895996093750e+00
2.501042100875364854e-02,8.336807002917882847e-03,6.085682773590087891e+01,6.562892913818359375e+00
3.334722801167153139e-02,8.336807002917882847e-03,8.008311939239501953e+01,5.975090026855468750e+00
4.168403501458941424e-02,8.336807002917882847e-03,9.902186679840087891e+01,4.981609344482421875e+00
5.002084201750729708e-02,8.336807002917882847e-03,1.179347658157348633e+02,3.417400360107421875e+00
5.835764902042517993e-02,8.336807002917882847e-03,1.366253480911254883e+02,1.430940628051757812e+00
6.669445602334306278e-02,8.336807002917882847e-03,1.552343416213989258e+02,-6.089801788330078125e-01
7.503126302626095256e-02,8.336807002917882847e-03,1.739092988967895508e+02,-2.409765243530273438e+00
8.336807002917882847e-02,8.336807002917882847e-03,1.924577760696411133e+02,-4.008522033691413355e+00
9.170487703209670438e-02,8.336807002917882847e-03,2.110445222854614258e+02,-5.331090927124023438e+00
1.000416840350145942e-01,8.336807002917882847e-03,2.294812746047973633e+02,-6.479482650756835938e+00
1.083784910379324840e-01,8.336807002917882847e-03,2.479695024490356445e+02,-7.318027496337890625e+00
1.167152980408503599e-01,8.336807002917882847e-03,2.665267839431762695e+02,-3.920375823974609375e+00
1.250521050437682358e-01,8.336807002917882847e-03,2.849544725418090820e+02,3.819652557373046875e+00
1.333889120466861256e-01,8.336807002917882847e-03,3.038613481521605877e+02,8.470375061035156250e+00
1.417257190496040153e-01,8.336807002917882847e-03,3.221360521316528320e+02,1.164031600952148438e+01
1.500625260525219051e-01,8.336807002917882847e-03,3.409324235916137127e+02,1.363312530517578125e+01
1.583993330554397672e-01,8.336807002917882847e-03,3.595866289138794514e+02,1.349503707885742188e+01
1.667361400583576569e-01,8.336807002917882847e-03,3.779575242996215820e+02,1.190971374511718750e+01
1.750729470612755467e-01,8.336807002917882847e-03,3.969844865798950195e+02,9.395145416259765625e+00
1.834097540641934088e-01,8.336807002917882847e-03,4.154009599685668945e+02,6.552196502685546875e+00
1.917465610671112985e-01,8.336807002917882847e-03,4.339724321365357014e+02,3.775634765625000000e+00
2.000833680700291883e-01,8.336807002917882847e-03,4.529082536697387695e+02,1.828052520751953125e+00
2.084201750729470781e-01,8.336807002917882847e-03,4.713338060379027752e+02,-2.802200317382812500e-01
2.167569820758649679e-01,8.336807002917882847e-03,4.899857683181762695e+02,-1.472824096679687500e+00
2.250937890787828299e-01,8.336807002917882847e-03,5.088946123123168945e+02,-1.966793060302762797e+00
2.334305960817007197e-01,8.336807002917882847e-03,5.274879961013793945e+02,-2.747779846191406250e+00
2.417674030846186095e-01,8.336807002917882847e-03,5.461601762771606445e+02,-2.782814025878906250e+00
2.501042100875364715e-01,8.336807002917882847e-03,5.650812578201293945e+02,-2.715766906738267039e+00
2.584410170904543613e-01,8.336807002917882847e-03,5.839579057693481445e+02,-2.076976776123046875e+00
