Time,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Model_20,Model_21,Model_22,Model_23,Model_24,Model_25,Model_26,Model_27
0.0,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845,0.39696240573890845
0.1,4.04301205920572,4.060071181767227,4.077274873163349,4.026095690823374,4.043012059222023,4.060071181783734,4.0093202921763895,4.0260956908391945,4.043012059238041,4.041653520201474,4.058016489869767,4.074512491811187,4.025421980023456,4.041653520217274,4.058016489885758,4.009320292165792,4.025421980038812,4.041653520232816,4.040400294298248,4.056121696174364,4.071965921502079,4.024800293223433,4.040400294313576,4.05612169618987,4.009320292155897,4.02480029323835,4.040400294328667
0.2,45823.79859790792,45920.84156088929,46018.18349201001,45799.795782309055,45896.80809370028,45994.11980927124,45775.52557209811,45872.504208843806,45969.784604190245,45772.24079047919,45865.218316931234,45958.46986845927,45749.37735776556,45842.327304248625,45935.552762862404,45726.267985885104,45819.187037154064,45912.38520303694,45724.66357810911,45813.90271525461,45903.39467578142,45702.838789056535,45792.051615151104,45881.52012121364,45680.78581436085,45769.97224053978,45859.41535106923
0.30000000000000004,57509.13172074117,57614.95489450251,57720.726382561945,57554.047843091,57660.43948304301,57766.78372547239,57597.713720571795,57704.667459527176,57811.57804758699,57409.82973910342,57511.12341620393,57612.3702379681,57453.31952972523,57555.13762067541,57656.912982677124,57495.66472027043,57598.00146604754,57700.30023043442,57318.16474923073,57415.29899168342,57512.390232690115,57360.30698510033,57457.925939290595,57555.506174292976,57401.39559536715,57499.495193843104,57597.55996506686
0.4,29040.85573611585,28924.53979803161,28807.831816832186,29258.374964895855,29142.247040164537,29025.71105352731,29477.08263490034,29361.16182509652,29244.817012715823,28989.86071157731,28878.364487620755,28766.50446645604,29197.839082330327,29086.515716422102,28974.81437102265,29406.91154007082,29295.777961549415,29184.25180227554,28943.139598992944,28836.08117369724,28728.684513740896,29142.374086113872,29035.47530867073,28928.225539988445,29342.6199247587,29235.89537540608,29128.80708437505
0.5,50230.04148037935,49929.629445263534,49626.13806312678,50431.30732228086,50131.81105762228,49829.16838327718,50633.62084418314,50335.09695613243,50033.35974052626,50312.634565231936,50025.85825191064,49736.18904748337,50504.59091229586,50218.66976258507,49929.79659996464,50697.505897021765,50412.49020991082,50124.46208684936,50388.55567391556,50114.271702597,49837.26725244508,50572.00932672198,50298.52575285401,50022.269038683524,50756.34529646049,50483.70584952131,50208.24034205817
0.6000000000000001,69311.08190273661,69196.2249477047,69069.17075213666,69303.69849073843,69187.35847042587,69058.76784450591,69296.01681444826,69178.25330864421,69048.18686480899,69385.81205582169,69284.70126469184,69172.26723225317,69379.86494993912,69277.38848443674,69163.54089353049,69373.60492253883,69269.81477470818,69154.60613739764,69448.50685919827,69359.45014026148,69259.86092196319,69443.82137717489,69353.50381379087,69252.61057671245,69438.81484829038,69347.281840584,69245.13062261818
0.7000000000000001,71028.51943534329,71381.77889135375,71720.78800661991,71250.35633170874,71593.74752152049,71922.6811382646,71460.31119579145,71793.64970775583,72112.32924335958,70637.60553726945,70991.69562899695,71332.9161569849,70863.85661931148,71209.10147057255,71541.28490636367,71079.31563391942,71415.54376333086,71738.52443285364,70260.59333201789,70614.03441492443,70955.81806687092,70489.69088936076,70835.17535214264,71168.82547256067,70708.9540052368,71046.32385396514,71371.68649184123
0.8,43064.90761710277,43663.25230998651,44261.775846922945,44218.64201754665,44821.592009312284,45424.32923785072,45374.607731218784,45981.42037593296,46587.61320695667,41970.1455362511,42541.04078327663,43112.61618584953,43072.090784764725,43647.88000443707,44224.01742668584,44177.53714286039,44757.5921300512,45337.65092101431,40965.96881508677,41511.15418283549,42057.39446524488,42019.40264851986,42569.64196685018,43120.65423086268,43077.25584317375,43632.01661968924,44187.256206889986
0.9,69675.89996013876,69520.10682212704,69355.92640970062,68625.09476729955,68444.93405141076,68256.77699595224,67482.36483336991,67278.82639783963,67067.72810993966,70351.14165341326,70221.95756526894,70084.66541824295,69415.58297648787,69263.21809094431,69103.04338609232,68392.21750437625,68217.44777702367,68035.20766754221,70920.56435850017,70814.96563679012,70701.593877084,70087.83942726991,69960.2753507473,69825.16199561745,69171.55948195407,69022.63311773869,68866.41872227304
